* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 12 2022 09:17:48

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP1K
Package, QN84

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, not used, , , , , , leftBank
A2, PIO, VCCIN_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A3, PIO, V5A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A4, PIO, PCH_PWROK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A5, PIO, VCCIO_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A6, GND, not used, , , , , , UnknownBank
A7, VCC, not used, , , , , , UnknownBank
A8, PIO_GBIN, FPGA_OSC, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
A9, PIO_GBIN, not used, , , , , , leftBank
A10, PIO, VCCST_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A11, PIO, V33S_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A12, PIO, V105A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A13, PIO, not used, , , , , , bottomBank
A14, PIO_GBIN, not used, , , , , , bottomBank
A15, VCC, not used, , , , , , UnknownBank
A16, PIO, not used, , , , , , bottomBank
A17, VCCIO_2, not used, , , , , , bottomBank
A18, GND, not used, , , , , , UnknownBank
A19, PIO, not used, , , , , , bottomBank
A20, PIO, not used, , , , , , bottomBank
A21, CRESET_B, not used, , , , , , bottomBank
A22, SPI_SI, not used, , , , , , bottomBank
A23, SPI_SCK, not used, , , , , , bottomBank
A24, VDDIO_SPI, not used, , , , , , bottomBank
A25, PIO, not used, , , , , , rightBank
A26, PIO, not used, , , , , , rightBank
A27, PIO, not used, , , , , , rightBank
A28, VCC, not used, , , , , , UnknownBank
A29, PIO_GBIN, not used, , , , , , rightBank
A30, GND, not used, , , , , , UnknownBank
A31, PIO, not used, , , , , , rightBank
A32, PIO, VPP_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
A33, PIO, V33DSW_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
A34, PIO, not used, , , , , , rightBank
A35, PIO, V33A_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
A36, VPP_PUMP, not used, , , , , , UnknownBank
A37, VPP_DIRECT, not used, , , , , , UnknownBank
A38, PIO, V105A_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A39, PIO, VR_READY_VCCIN, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A40, PIO, PWRBTN_LED, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
A41, PIO, V5S_OK, Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A42, VCCIO_0, not used, , , , , , topBank
