* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Apr 12 2022 14:48:53

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP1K
Package, QN84

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, SYS_PWROK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A2, PIO, not used, , , , , , leftBank
A3, PIO, DSW_PWROK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A4, PIO, RSMRSTn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A5, PIO, V5S_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A6, GND, not used, , , , , , UnknownBank
A7, VCC, not used, , , , , , UnknownBank
A8, PIO_GBIN, FPGA_OSC, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
A9, PIO_GBIN, VCCIN_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A10, PIO, not used, , , , , , leftBank
A11, PIO, VCCIO_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A12, PIO, V105A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A13, PIO, not used, , , , , , bottomBank
A14, PIO_GBIN, not used, , , , , , bottomBank
A15, VCC, not used, , , , , , UnknownBank
A16, PIO, not used, , , , , , bottomBank
A17, VCCIO_2, not used, , , , , , bottomBank
A18, GND, not used, , , , , , UnknownBank
A19, PIO, not used, , , , , , bottomBank
A20, PIO, not used, , , , , , bottomBank
A21, CRESET_B, not used, , , , , , bottomBank
A22, SPI_SI, not used, , , , , , bottomBank
A23, SPI_SCK, not used, , , , , , bottomBank
A24, VDDIO_SPI, not used, , , , , , bottomBank
A25, PIO, not used, , , , , , rightBank
A26, PIO, not used, , , , , , rightBank
A27, PIO, not used, , , , , , rightBank
A28, VCC, not used, , , , , , UnknownBank
A29, PIO_GBIN, not used, , , , , , rightBank
A30, GND, not used, , , , , , UnknownBank
A31, PIO, not used, , , , , , rightBank
A32, PIO, V33A_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
A33, PIO, V1P8A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
A34, PIO, not used, , , , , , rightBank
