INPUT  VR_READY_VCCINAUX 	 location (13, 15, 1) 	 B27 	 
OUTPUT V33A_ENn 	 location (13, 4, 0) 	 A25 	 
OUTPUT V1P8A_EN 	 location (13, 6, 1) 	 B20 	 
OUTPUT VDDQ_EN 	 location (0, 14, 0) 	 A1 	 
INPUT  V5S_OK 	 location (11, 17, 0) 	 A38 	 
INPUT  SLP_S3n 	 location (6, 17, 0) 	 A44 	 
OUTPUT V5S_ENn 	 location (0, 10, 1) 	 B4 	 
INPUT  V1P8A_OK 	 location (13, 12, 1) 	 A32 	 
OUTPUT PWRBTN_LED 	 location (6, 17, 1) 	 B32 	 
OUTPUT VCCST_EN 	 location (0, 9, 1) 	 B5 	 
INPUT  V33DSW_OK 	 location (13, 13, 1) 	 A33 	 
INPUT  GPIO_FPGA_SoC_4 	 location (5, 17, 0) 	 A45 	 
INPUT  VR_READY_VCCIN 	 location (13, 14, 1) 	 B26 	 
INPUT  V5A_OK 	 location (13, 9, 0) 	 B22 	 
OUTPUT RSMRSTn 	 location (0, 5, 0) 	 B8 	 
INPUT  FPGA_OSC 	 location (0, 9, 0) 	 A8 	 
OUTPUT VCCST_PWRGD 	 location (0, 13, 1) 	 B1 	 
OUTPUT SYS_PWROK 	 location (2, 17, 1) 	 B36 	 
OUTPUT HDA_SDO_ATP 	 location (0, 4, 0) 	 A11 	 
OUTPUT VPP_EN 	 location (0, 12, 1) 	 B2 	 
INPUT  VDDQ_OK 	 location (13, 14, 0) 	 A34 	 
INPUT  SLP_S4n 	 location (4, 17, 0) 	 A46 	 
INPUT  VCCST_CPU_OK 	 location (13, 7, 1) 	 A27 	 
OUTPUT VCCINAUX_EN 	 location (0, 8, 1) 	 A9 	 
INPUT  V33S_OK 	 location (10, 17, 0) 	 A39 	 
OUTPUT V33S_ENn 	 location (0, 11, 1) 	 B3 	 
INPUT  GPIO_FPGA_SoC_1 	 location (9, 17, 0) 	 A40 	 
OUTPUT DSW_PWROK 	 location (0, 8, 0) 	 B7 	 
OUTPUT V5A_EN 	 location (3, 17, 1) 	 B35 	 
INPUT  VPP_OK 	 location (8, 17, 0) 	 A41 	 
OUTPUT VCCIN_EN 	 location (0, 2, 0) 	 A12 	 
INPUT  V33A_OK 	 location (13, 11, 1) 	 A31 	 
OUTPUT PCH_PWROK 	 location (1, 17, 1) 	 A48 	 
