OUTPUT VCCST_ENn 	 location (0, 5, 1) 	 A10 	 
INPUT  VR_READY_VCCINAUX 	 location (10, 17, 1) 	 B29 	 
INPUT  VCCST_OK 	 location (6, 17, 1) 	 B32 	 
OUTPUT VCCIO_EN 	 location (0, 10, 0) 	 A5 	 
OUTPUT V33A_ENn 	 location (13, 9, 0) 	 B22 	 
OUTPUT V1P8A_EN 	 location (13, 11, 0) 	 B23 	 
OUTPUT VDDQ_EN 	 location (4, 17, 1) 	 B34 	 
INPUT  V5S_OK 	 location (8, 17, 0) 	 A41 	 
INPUT  SLP_S3n 	 location (2, 17, 1) 	 B36 	 
INPUT  VCCIO_OK 	 location (7, 17, 0) 	 A43 	 
OUTPUT V5S_ENn 	 location (0, 5, 0) 	 B8 	 
INPUT  V1P8A_OK 	 location (13, 15, 1) 	 B27 	 
OUTPUT PWRBTN_LED 	 location (9, 17, 0) 	 A40 	 
INPUT  V33DSW_OK 	 location (13, 13, 1) 	 A33 	 
INPUT  VR_READY_VCCIN 	 location (10, 17, 0) 	 A39 	 
INPUT  V5A_OK 	 location (13, 14, 1) 	 B26 	 
OUTPUT RSMRSTn 	 location (0, 3, 0) 	 B9 	 
INPUT  FPGA_OSC 	 location (0, 9, 0) 	 A8 	 
OUTPUT VCCST_PWRGD 	 location (0, 12, 1) 	 B2 	 
OUTPUT V105A_EN 	 location (0, 2, 0) 	 A12 	 
OUTPUT SYS_PWROK 	 location (0, 11, 1) 	 B3 	 
INPUT  GPIO_FPGA_PCH_1 	 location (13, 12, 0) 	 B24 	 
OUTPUT HDA_SDO_FPGA 	 location (1, 17, 1) 	 A48 	 
OUTPUT VPP_EN 	 location (0, 9, 1) 	 B5 	 
INPUT  VDDQ_OK 	 location (6, 17, 0) 	 A44 	 
INPUT  SLP_S4n 	 location (3, 17, 0) 	 A47 	 
OUTPUT VCCINAUX_EN 	 location (0, 13, 1) 	 B1 	 
INPUT  V33S_OK 	 location (8, 17, 1) 	 B31 	 
OUTPUT V33S_ENn 	 location (0, 4, 0) 	 A11 	 
OUTPUT DSW_PWROK 	 location (0, 8, 0) 	 B7 	 
INPUT  GPIO_FPGA_PCH_5 	 location (3, 17, 1) 	 B35 	 
OUTPUT V5A_EN 	 location (0, 12, 0) 	 A3 	 
INPUT  VPP_OK 	 location (13, 12, 1) 	 A32 	 
OUTPUT VCCIN_EN 	 location (0, 13, 0) 	 A2 	 
INPUT  V105A_OK 	 location (11, 17, 0) 	 A38 	 
INPUT  V33A_OK 	 location (13, 15, 0) 	 A35 	 
OUTPUT PCH_PWROK 	 location (0, 11, 0) 	 A4 	 
