INPUT  VR_READY_VCCINAUX 	 location (13, 7, 0) 	 B21 	 
OUTPUT V33A_ENn 	 location (0, 10, 0) 	 A5 	 
OUTPUT V1P8A_EN 	 location (0, 14, 0) 	 A1 	 
OUTPUT VDDQ_EN 	 location (1, 17, 1) 	 A48 	 
INPUT  VCCST_OVERRIDE_3V3 	 location (5, 0, 0) 	 B10 	 
INPUT  V5S_OK 	 location (13, 6, 1) 	 B20 	 
INPUT  SLP_S3n 	 location (11, 17, 0) 	 A38 	 
INPUT  SLP_S0n 	 location (4, 17, 0) 	 A46 	 
OUTPUT V5S_ENn 	 location (0, 11, 1) 	 B3 	 
INPUT  V1P8A_OK 	 location (0, 12, 1) 	 B2 	 
INPUT  PWRBTNn 	 location (10, 17, 0) 	 A39 	 
OUTPUT PWRBTN_LED 	 location (2, 17, 1) 	 B36 	 
INPUT  GPIO_FPGA_SoC_2 	 location (9, 0, 0) 	 B14 	 
INPUT  VCCIN_VR_PROCHOT_FPGA 	 location (13, 11, 1) 	 A31 	 
INPUT  SLP_SUSn 	 location (9, 17, 0) 	 A40 	 
INPUT  CPU_C10_GATE_N 	 location (4, 0, 0) 	 A13 	 
OUTPUT VCCST_EN 	 location (0, 11, 0) 	 A4 	 
INPUT  V33DSW_OK 	 location (0, 13, 0) 	 A2 	 
INPUT  TPM_GPIO 	 location (9, 17, 1) 	 B30 	 
OUTPUT SUSWARN_N 	 location (0, 3, 0) 	 B9 	 
INPUT  PLTRSTn 	 location (5, 0, 1) 	 B11 	 
INPUT  GPIO_FPGA_SoC_4 	 location (13, 4, 0) 	 A25 	 
INPUT  VR_READY_VCCIN 	 location (0, 9, 1) 	 B5 	 
INPUT  V5A_OK 	 location (0, 5, 0) 	 B8 	 
OUTPUT RSMRSTn 	 location (3, 17, 1) 	 B35 	 
INPUT  FPGA_OSC 	 location (7, 0, 0) 	 B12 	 
OUTPUT VCCST_PWRGD 	 location (6, 0, 1) 	 A14 	 
OUTPUT SYS_PWROK 	 location (13, 15, 1) 	 B27 	 
INPUT  SPI_FP_IO2 	 location (0, 8, 1) 	 A9 	 
INPUT  SATAXPCIE1_FPGA 	 location (8, 17, 1) 	 B31 	 
INPUT  GPIO_FPGA_EXP_1 	 location (6, 17, 0) 	 A44 	 
INPUT  VCCINAUX_VR_PROCHOT_FPGA 	 location (13, 12, 0) 	 B24 	 
INPUT  VCCINAUX_VR_PE 	 location (13, 9, 0) 	 B22 	 
OUTPUT HDA_SDO_ATP 	 location (0, 8, 0) 	 B7 	 
INPUT  GPIO_FPGA_EXP_2 	 location (5, 17, 0) 	 A45 	 
OUTPUT VPP_EN 	 location (13, 13, 1) 	 A33 	 
INPUT  VDDQ_OK 	 location (13, 14, 1) 	 B26 	 
INPUT  SUSACK_N 	 location (0, 4, 0) 	 A11 	 
INPUT  SLP_S4n 	 location (4, 17, 1) 	 B34 	 
INPUT  VCCST_CPU_OK 	 location (13, 3, 1) 	 B19 	 
OUTPUT VCCINAUX_EN 	 location (13, 6, 0) 	 A26 	 
INPUT  V33S_OK 	 location (13, 14, 0) 	 A34 	 
OUTPUT V33S_ENn 	 location (0, 12, 0) 	 A3 	 
INPUT  GPIO_FPGA_SoC_1 	 location (9, 0, 1) 	 A19 	 
OUTPUT DSW_PWROK 	 location (0, 10, 1) 	 B4 	 
OUTPUT V5A_EN 	 location (0, 5, 1) 	 A10 	 
INPUT  GPIO_FPGA_SoC_3 	 location (8, 0, 0) 	 B13 	 
INPUT  VR_PROCHOT_FPGA_OUT_N 	 location (13, 12, 1) 	 A32 	 
INPUT  VPP_OK 	 location (0, 13, 1) 	 B1 	 
INPUT  VCCIN_VR_PE 	 location (13, 7, 1) 	 A27 	 
OUTPUT VCCIN_EN 	 location (10, 17, 1) 	 B29 	 
INPUT  SOC_SPKR 	 location (3, 17, 0) 	 A47 	 
INPUT  SLP_S5n 	 location (8, 17, 0) 	 A41 	 
INPUT  V12_MAIN_MON 	 location (7, 17, 0) 	 A43 	 
INPUT  SPI_FP_IO3 	 location (0, 9, 0) 	 A8 	 
INPUT  SATAXPCIE0_FPGA 	 location (13, 11, 0) 	 B23 	 
INPUT  V33A_OK 	 location (13, 15, 0) 	 A35 	 
OUTPUT PCH_PWROK 	 location (0, 2, 0) 	 A12 	 
INPUT  FPGA_SLP_WLAN_N 	 location (6, 0, 0) 	 A16 	 
