* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Jun 7 2022 10:06:06

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40LP1K
Package, QN84

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, V1P8A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A2, PIO, V33DSW_OK, Input, , SB_LVCMOS, Pull Up, Simple Input, leftBank
A3, PIO, V33S_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A4, PIO, VCCST_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A5, PIO, V33A_ENn, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A6, GND, not used, , , , , , UnknownBank
A7, VCC, not used, , , , , , UnknownBank
A8, PIO_GBIN, SPI_FP_IO3,  , , SB_LVCMOS, No Pull Up, , leftBank
A9, PIO_GBIN, SPI_FP_IO2,  , , SB_LVCMOS, No Pull Up, , leftBank
A10, PIO, V5A_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A11, PIO, SUSACK_N,  , , SB_LVCMOS, No Pull Up, , leftBank
A12, PIO, PCH_PWROK, Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
A13, PIO, CPU_C10_GATE_N,  , , SB_LVCMOS, No Pull Up, , bottomBank
A14, PIO_GBIN, VCCST_PWRGD, Output, , SB_LVCMOS, No Pull Up, Simple Output, bottomBank
A15, VCC, not used, , , , , , UnknownBank
A16, PIO, FPGA_SLP_WLAN_N,  , , SB_LVCMOS, No Pull Up, , bottomBank
A17, VCCIO_2, not used, , , , , , bottomBank
A18, GND, not used, , , , , , UnknownBank
A19, PIO, GPIO_FPGA_SoC_1, Input, , SB_LVCMOS, No Pull Up, Simple Input, bottomBank
A20, PIO, not used, , , , , , bottomBank
A21, CRESET_B, not used, , , , , , bottomBank
A22, SPI_SI, not used, , , , , , bottomBank
A23, SPI_SCK, not used, , , , , , bottomBank
A24, VDDIO_SPI, not used, , , , , , bottomBank
A25, PIO, GPIO_FPGA_SoC_4, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
A26, PIO, VCCINAUX_EN, Output, , SB_LVCMOS, No Pull Up, Simple Output, rightBank
